variant,counts_9114_c_F_1,counts_9114_c_F_3,counts_9114_c_F_2,counts_9114_c_F_6,counts_9114_c_F_7,counts_9114_c_F_5,counts_9114_c_F_4,counts_9114_c_F_8
1100111101100100,372.0,1597.0,378.0,1926.0,1921.0,3080.0,2214.0,722.0
1111011100010011,370.0,150.0,111.0,200.0,634.0,261.0,279.0,674.0
1100010101001101,368.0,339.0,68.0,659.0,250.0,392.0,292.0,301.0
1111011001010010,364.0,674.0,248.0,315.0,169.0,108.0,197.0,85.0
1100010111110001,364.0,437.0,593.0,515.0,443.0,622.0,707.0,436.0
1100101011111101,360.0,416.0,35.0,775.0,726.0,1321.0,736.0,597.0
1101000101010111,357.0,91.0,277.0,98.0,128.0,311.0,221.0,156.0
1000110010101001,354.0,145.0,32.0,219.0,275.0,466.0,290.0,252.0
1011010010101100,353.0,56.0,123.0,64.0,138.0,89.0,36.0,135.0
1111011010100001,352.0,89.0,284.0,127.0,225.0,330.0,210.0,321.0
0111011100111001,352.0,34.0,127.0,39.0,63.0,75.0,37.0,170.0
1110010010101001,351.0,370.0,179.0,271.0,437.0,423.0,426.0,329.0
1101101100010111,349.0,144.0,66.0,156.0,205.0,76.0,77.0,214.0
1110010010010011,348.0,186.0,142.0,547.0,604.0,686.0,359.0,839.0
1111111000010001,346.0,34.0,164.0,49.0,147.0,347.0,169.0,301.0
1101001101000001,346.0,119.0,11.0,138.0,77.0,218.0,234.0,44.0
1010010001001101,345.0,851.0,417.0,202.0,237.0,618.0,424.0,616.0
1100001101010011,341.0,258.0,133.0,174.0,99.0,225.0,186.0,73.0
1111010010100011,340.0,115.0,33.0,157.0,182.0,243.0,90.0,354.0
1111101000010111,337.0,169.0,84.0,157.0,227.0,244.0,324.0,450.0
1110010010110010,337.0,191.0,351.0,254.0,212.0,525.0,301.0,167.0
1100010001110000,337.0,160.0,132.0,256.0,294.0,684.0,396.0,128.0
1100010000101101,337.0,234.0,235.0,461.0,478.0,596.0,471.0,589.0
1101011000000011,336.0,315.0,172.0,341.0,316.0,355.0,413.0,374.0
0100101101010001,335.0,121.0,240.0,85.0,58.0,53.0,96.0,91.0
1011011101100101,334.0,135.0,149.0,36.0,126.0,187.0,116.0,152.0
1101100011000111,333.0,68.0,27.0,134.0,230.0,369.0,259.0,29.0
1001001000110010,333.0,152.0,237.0,26.0,20.0,39.0,36.0,39.0
1111000000110001,331.0,43.0,10.0,95.0,195.0,111.0,132.0,250.0
1101011000000101,331.0,102.0,96.0,159.0,251.0,281.0,183.0,437.0
1101000010000101,330.0,47.0,133.0,151.0,163.0,402.0,95.0,628.0
0011101011000011,330.0,714.0,699.0,85.0,39.0,45.0,92.0,9.0
1100010110011111,329.0,172.0,135.0,142.0,219.0,220.0,86.0,384.0
1111100011101001,328.0,258.0,103.0,315.0,261.0,295.0,265.0,117.0
1101011110100010,328.0,269.0,349.0,155.0,219.0,459.0,218.0,156.0
1111010110011000,326.0,44.0,65.0,132.0,112.0,230.0,160.0,143.0
1100010110101101,326.0,140.0,211.0,186.0,264.0,318.0,162.0,610.0
1000110100111000,326.0,932.0,310.0,1337.0,1565.0,2558.0,1826.0,1241.0
1110001001110001,324.0,73.0,10.0,248.0,254.0,288.0,117.0,307.0
1100010000001011,323.0,252.0,343.0,573.0,471.0,632.0,575.0,572.0
1100010101001100,322.0,215.0,244.0,350.0,370.0,565.0,291.0,220.0
1001000110101101,320.0,71.0,284.0,104.0,117.0,195.0,96.0,172.0
1100010001110001,316.0,147.0,236.0,258.0,186.0,665.0,384.0,505.0
1011101001101101,314.0,434.0,317.0,145.0,104.0,354.0,131.0,177.0
1101000000111001,312.0,128.0,17.0,170.0,216.0,118.0,205.0,340.0
1101100000000101,311.0,47.0,30.0,120.0,321.0,313.0,341.0,665.0
1110010010011010,310.0,227.0,65.0,346.0,682.0,903.0,396.0,396.0
1111000101010111,309.0,55.0,74.0,184.0,101.0,210.0,41.0,294.0
1010010110100011,309.0,109.0,77.0,107.0,200.0,216.0,116.0,141.0
1100111010001001,307.0,46.0,126.0,261.0,195.0,264.0,160.0,77.0
1100010101001011,306.0,343.0,272.0,432.0,158.0,493.0,330.0,116.0
1101011001010001,305.0,84.0,21.0,91.0,184.0,433.0,144.0,356.0
1010001010000101,305.0,317.0,163.0,145.0,61.0,160.0,139.0,220.0
1101001000000011,303.0,79.0,20.0,287.0,204.0,229.0,201.0,181.0
1100011011110101,301.0,118.0,106.0,290.0,250.0,443.0,366.0,37.0
1100010101000001,301.0,131.0,245.0,426.0,158.0,602.0,281.0,211.0
1100010011000011,301.0,289.0,109.0,575.0,165.0,613.0,768.0,25.0
1100010010010011,300.0,236.0,89.0,416.0,540.0,1110.0,277.0,795.0
1110010100000101,299.0,167.0,35.0,208.0,312.0,310.0,290.0,355.0
1101010011000010,299.0,437.0,452.0,244.0,154.0,255.0,238.0,5.0
1111010001010111,298.0,21.0,27.0,43.0,127.0,108.0,36.0,194.0
1101011110110111,298.0,304.0,535.0,139.0,97.0,96.0,125.0,209.0
1101011000101001,298.0,131.0,165.0,316.0,257.0,296.0,222.0,285.0
1101001100010000,297.0,272.0,40.0,171.0,189.0,179.0,81.0,98.0
1100010010001100,297.0,193.0,48.0,503.0,556.0,376.0,293.0,433.0
1100010010001001,297.0,148.0,78.0,408.0,486.0,793.0,672.0,505.0
1101111110011101,296.0,86.0,63.0,104.0,204.0,116.0,187.0,255.0
1111011111110001,295.0,168.0,80.0,114.0,85.0,278.0,206.0,173.0
1101011010001011,294.0,462.0,471.0,311.0,384.0,473.0,139.0,258.0
1101000000100000,292.0,148.0,142.0,220.0,183.0,296.0,191.0,38.0
1111101000001011,291.0,73.0,48.0,327.0,324.0,364.0,373.0,429.0
1111001000000011,288.0,73.0,61.0,145.0,247.0,180.0,319.0,340.0
1111011011100000,287.0,356.0,104.0,837.0,684.0,1536.0,1209.0,85.0
0111000100111101,286.0,525.0,771.0,54.0,70.0,86.0,87.0,134.0
1111101001001011,285.0,200.0,27.0,495.0,373.0,395.0,413.0,264.0
1110011010101101,285.0,93.0,10.0,131.0,121.0,88.0,133.0,660.0
1100010001000111,285.0,268.0,35.0,543.0,925.0,920.0,579.0,241.0
1110101110010011,284.0,194.0,49.0,405.0,774.0,825.0,281.0,429.0
1111100001110101,283.0,371.0,34.0,84.0,54.0,63.0,102.0,265.0
1110001100010011,281.0,73.0,24.0,329.0,196.0,198.0,171.0,294.0
1100010000000001,281.0,254.0,132.0,482.0,812.0,714.0,1063.0,501.0
1111010000100011,279.0,211.0,255.0,348.0,287.0,203.0,306.0,723.0
1101011101011100,278.0,117.0,64.0,90.0,529.0,216.0,123.0,201.0
1111100100001011,277.0,97.0,40.0,85.0,146.0,288.0,192.0,177.0
1110011101010001,277.0,111.0,34.0,259.0,522.0,480.0,503.0,495.0
1101111001100001,277.0,118.0,10.0,158.0,137.0,485.0,291.0,155.0
1011000011010000,276.0,222.0,490.0,36.0,146.0,136.0,51.0,12.0
1111101011000101,275.0,41.0,235.0,130.0,123.0,169.0,321.0,143.0
1111001000010101,274.0,73.0,124.0,128.0,127.0,134.0,90.0,354.0
1100010010101101,274.0,164.0,181.0,327.0,542.0,357.0,218.0,566.0
1111011111011011,273.0,191.0,160.0,405.0,252.0,362.0,336.0,190.0
1111101000001100,272.0,87.0,20.0,285.0,285.0,280.0,149.0,208.0
1110001001001101,272.0,278.0,203.0,130.0,111.0,157.0,127.0,202.0
1101101000011000,272.0,60.0,311.0,160.0,267.0,456.0,173.0,164.0
1000011100001101,272.0,263.0,133.0,211.0,66.0,123.0,330.0,328.0
1111011101010101,271.0,107.0,168.0,68.0,222.0,90.0,204.0,218.0
1110010000000101,271.0,236.0,203.0,484.0,478.0,492.0,472.0,553.0
1101100001001101,270.0,39.0,30.0,125.0,311.0,213.0,169.0,344.0
1100101100100101,270.0,67.0,14.0,70.0,79.0,148.0,162.0,82.0
1100010010100100,270.0,161.0,61.0,359.0,488.0,425.0,638.0,411.0
1111001011010111,269.0,42.0,10.0,116.0,150.0,141.0,119.0,180.0
1101100001001111,269.0,50.0,258.0,105.0,103.0,232.0,54.0,192.0
1111101100110111,268.0,59.0,125.0,96.0,47.0,129.0,132.0,183.0
1101011100010011,268.0,167.0,97.0,219.0,323.0,372.0,187.0,318.0
1100011011001011,268.0,211.0,238.0,202.0,127.0,186.0,376.0,14.0
1100010010010001,268.0,148.0,102.0,250.0,338.0,520.0,315.0,433.0
1111001000011011,267.0,165.0,65.0,181.0,178.0,123.0,137.0,317.0
1110010101010101,267.0,174.0,52.0,122.0,506.0,401.0,280.0,603.0
1100101010001001,267.0,59.0,26.0,76.0,126.0,646.0,335.0,182.0
1000001000001101,266.0,146.0,21.0,140.0,158.0,251.0,119.0,183.0
1101111110000110,265.0,47.0,8.0,24.0,41.0,46.0,67.0,22.0
1011111001010011,265.0,265.0,810.0,23.0,60.0,78.0,118.0,140.0
1000011100011111,265.0,34.0,13.0,31.0,59.0,157.0,37.0,305.0
1111000100101111,263.0,61.0,16.0,75.0,126.0,74.0,132.0,318.0
1110010110110011,263.0,98.0,124.0,134.0,268.0,176.0,205.0,331.0
1110010001011001,263.0,177.0,107.0,220.0,305.0,394.0,189.0,787.0
1110001001000100,263.0,89.0,23.0,299.0,92.0,266.0,187.0,30.0
1111010001111101,261.0,37.0,339.0,129.0,186.0,201.0,215.0,308.0
1111001100001011,261.0,146.0,60.0,219.0,345.0,486.0,347.0,762.0
1111010000001001,260.0,153.0,22.0,199.0,380.0,342.0,272.0,523.0
1110101100011001,260.0,186.0,197.0,137.0,154.0,170.0,118.0,125.0
1101000011000011,260.0,189.0,29.0,318.0,163.0,782.0,541.0,87.0
1111100010011000,259.0,95.0,20.0,121.0,229.0,214.0,164.0,154.0
1101010010101101,259.0,52.0,167.0,264.0,426.0,318.0,109.0,420.0
1101000100010111,259.0,225.0,23.0,90.0,182.0,188.0,138.0,432.0
1001000000011011,259.0,246.0,213.0,221.0,72.0,78.0,79.0,260.0
1111011000010111,258.0,81.0,34.0,166.0,480.0,254.0,274.0,780.0
1100010011001111,258.0,316.0,212.0,292.0,251.0,455.0,247.0,59.0
1100001010001011,257.0,109.0,104.0,506.0,380.0,491.0,183.0,209.0
1001000100011001,257.0,96.0,22.0,143.0,86.0,214.0,93.0,188.0
1111011010101111,256.0,46.0,114.0,119.0,318.0,211.0,103.0,378.0
1101001110111100,256.0,131.0,17.0,173.0,168.0,90.0,68.0,207.0
1010011100010011,256.0,139.0,413.0,84.0,149.0,208.0,47.0,185.0
1101011001100001,255.0,128.0,33.0,256.0,233.0,461.0,450.0,442.0
1111011110110001,254.0,43.0,17.0,55.0,62.0,114.0,80.0,137.0
1101001010111011,254.0,244.0,155.0,46.0,152.0,146.0,64.0,180.0
1100010001101011,254.0,427.0,173.0,414.0,493.0,592.0,666.0,295.0
1001001011110101,254.0,232.0,233.0,61.0,110.0,180.0,48.0,67.0
1111001110101111,253.0,202.0,52.0,142.0,128.0,217.0,44.0,238.0
1011001101110101,253.0,31.0,313.0,34.0,26.0,63.0,14.0,91.0
1111011000000101,252.0,179.0,39.0,175.0,351.0,353.0,243.0,737.0
1100111011100011,252.0,137.0,63.0,137.0,45.0,474.0,451.0,22.0
1111101110000001,251.0,110.0,166.0,89.0,217.0,232.0,109.0,340.0
1111100011101101,251.0,42.0,23.0,128.0,202.0,91.0,265.0,182.0
1101010110010100,251.0,58.0,21.0,151.0,188.0,346.0,198.0,234.0
1111011010100011,250.0,284.0,61.0,177.0,179.0,218.0,260.0,258.0
1101011100100011,250.0,148.0,100.0,209.0,247.0,290.0,371.0,118.0
1011100010010011,250.0,51.0,77.0,139.0,145.0,146.0,288.0,145.0
1111010100001100,249.0,186.0,371.0,158.0,173.0,219.0,173.0,275.0
1110010000101111,249.0,83.0,48.0,199.0,190.0,151.0,174.0,415.0
1101101100011000,249.0,464.0,399.0,248.0,100.0,144.0,138.0,59.0
1010010001110010,249.0,232.0,210.0,103.0,207.0,184.0,223.0,89.0
1101101010001101,248.0,154.0,35.0,125.0,181.0,250.0,112.0,536.0
1001001110101001,248.0,68.0,12.0,104.0,241.0,153.0,144.0,231.0
1110111010101001,247.0,62.0,8.0,66.0,148.0,287.0,85.0,213.0
1110011101000011,247.0,610.0,237.0,260.0,201.0,482.0,251.0,25.0
1101011101100011,247.0,425.0,586.0,178.0,309.0,234.0,298.0,215.0
1011111110011101,247.0,82.0,319.0,30.0,92.0,45.0,111.0,215.0
1010110011000011,247.0,197.0,95.0,42.0,42.0,196.0,211.0,12.0
1111011001101010,246.0,265.0,213.0,637.0,144.0,582.0,389.0,79.0
1110011001000111,246.0,91.0,35.0,280.0,70.0,475.0,135.0,84.0
1010001000010100,246.0,287.0,93.0,74.0,112.0,155.0,212.0,123.0
1110011000010000,245.0,161.0,195.0,235.0,330.0,215.0,481.0,800.0
1110001000001011,245.0,83.0,37.0,432.0,266.0,432.0,304.0,208.0
1011011011101010,245.0,264.0,31.0,314.0,53.0,272.0,139.0,48.0
1110111001000001,244.0,54.0,232.0,84.0,144.0,139.0,242.0,41.0
1110101100001101,244.0,54.0,31.0,130.0,114.0,76.0,125.0,539.0
1101101100101011,244.0,231.0,51.0,246.0,174.0,88.0,141.0,191.0
1101011101010101,244.0,212.0,29.0,135.0,152.0,163.0,152.0,379.0
1101000100001011,244.0,84.0,234.0,410.0,422.0,516.0,286.0,469.0
1100010010101010,244.0,120.0,42.0,372.0,263.0,432.0,225.0,105.0
1011000110011111,244.0,45.0,13.0,90.0,159.0,117.0,71.0,530.0
1011000110011011,244.0,82.0,38.0,144.0,58.0,220.0,79.0,255.0
1101011010001101,243.0,57.0,61.0,189.0,204.0,143.0,160.0,355.0
1110010110101101,242.0,243.0,221.0,221.0,383.0,316.0,232.0,576.0
1110010001010011,242.0,209.0,203.0,248.0,275.0,285.0,223.0,453.0
1101011100011100,242.0,53.0,53.0,110.0,179.0,362.0,166.0,102.0
1111101010000111,241.0,366.0,200.0,859.0,1242.0,809.0,752.0,1390.0
1111010010000101,241.0,35.0,241.0,117.0,234.0,313.0,301.0,629.0
1110111101100100,241.0,153.0,282.0,206.0,200.0,397.0,231.0,53.0
1110011000000100,241.0,113.0,17.0,295.0,250.0,292.0,118.0,228.0
1110010010010001,241.0,176.0,116.0,585.0,436.0,325.0,598.0,981.0
1101010011101011,241.0,170.0,203.0,398.0,89.0,392.0,289.0,21.0
1100101110110011,241.0,129.0,189.0,175.0,130.0,82.0,86.0,227.0
1100011100101101,241.0,26.0,37.0,84.0,115.0,184.0,47.0,285.0
1111000111011001,239.0,104.0,22.0,145.0,221.0,302.0,129.0,334.0
1000010000001101,239.0,191.0,56.0,189.0,213.0,293.0,183.0,558.0
1110010111100101,238.0,163.0,119.0,239.0,301.0,727.0,412.0,199.0
1011010001000000,238.0,144.0,303.0,118.0,193.0,114.0,110.0,69.0
1110011001110011,236.0,100.0,39.0,297.0,101.0,420.0,128.0,214.0
1110010001000010,236.0,295.0,158.0,968.0,312.0,1414.0,1035.0,97.0
1111011101000000,235.0,488.0,90.0,1176.0,571.0,1143.0,1620.0,516.0
1111011011110001,235.0,236.0,40.0,165.0,231.0,310.0,345.0,224.0
1111000010001011,235.0,156.0,75.0,311.0,283.0,284.0,394.0,439.0
1110011001100011,234.0,216.0,77.0,585.0,352.0,437.0,507.0,76.0
1110011000100111,234.0,104.0,10.0,220.0,170.0,196.0,141.0,328.0
1101100111011101,234.0,126.0,24.0,97.0,51.0,169.0,39.0,94.0
1011111011101101,234.0,31.0,11.0,110.0,40.0,292.0,64.0,57.0
1111110001001101,233.0,224.0,31.0,177.0,154.0,288.0,122.0,463.0
1100101000001001,233.0,344.0,52.0,120.0,144.0,336.0,353.0,193.0
1100010111101011,233.0,267.0,75.0,404.0,333.0,690.0,625.0,65.0
1110101110110110,232.0,161.0,100.0,73.0,112.0,101.0,151.0,73.0
1101001001111001,232.0,141.0,30.0,209.0,343.0,232.0,225.0,315.0
1101001000010011,232.0,133.0,111.0,98.0,168.0,128.0,89.0,266.0
1101000010001100,232.0,228.0,122.0,336.0,647.0,300.0,328.0,351.0
1110101110101101,231.0,107.0,11.0,175.0,222.0,198.0,98.0,370.0
1101100110010001,231.0,91.0,22.0,125.0,228.0,182.0,115.0,323.0
1101010000000001,231.0,136.0,354.0,122.0,151.0,112.0,509.0,293.0
1111000110010001,230.0,74.0,65.0,163.0,162.0,137.0,206.0,419.0
1101001010101011,230.0,68.0,55.0,154.0,125.0,265.0,170.0,130.0
1101001010010010,230.0,118.0,124.0,320.0,333.0,477.0,133.0,102.0
1100101011100011,230.0,304.0,31.0,113.0,21.0,225.0,435.0,3.0
1100010010110111,230.0,96.0,35.0,162.0,154.0,234.0,133.0,426.0
1110111011000011,229.0,72.0,62.0,103.0,52.0,294.0,184.0,22.0
1110010101100011,229.0,470.0,81.0,615.0,441.0,694.0,694.0,271.0
1101100010000101,229.0,19.0,16.0,57.0,98.0,108.0,82.0,221.0
1010101110110001,229.0,55.0,65.0,47.0,36.0,37.0,69.0,105.0
1010010100011011,229.0,166.0,39.0,162.0,361.0,351.0,138.0,268.0
1010010010000001,229.0,212.0,33.0,202.0,220.0,461.0,296.0,310.0
1001010100100100,229.0,193.0,87.0,69.0,59.0,35.0,32.0,68.0
1101110010001010,228.0,138.0,449.0,112.0,70.0,263.0,67.0,28.0
1101011100010110,228.0,165.0,19.0,191.0,267.0,330.0,189.0,172.0
1101010000100101,228.0,131.0,24.0,113.0,98.0,160.0,118.0,312.0
1100011001000011,228.0,476.0,45.0,276.0,328.0,598.0,353.0,186.0
1011010001000001,228.0,88.0,42.0,198.0,97.0,210.0,201.0,148.0
1111100000011101,227.0,35.0,67.0,159.0,123.0,221.0,55.0,269.0
1111011010000011,227.0,178.0,24.0,215.0,264.0,315.0,274.0,420.0
1110010000111010,227.0,106.0,22.0,149.0,250.0,356.0,255.0,217.0
1101101010010011,227.0,71.0,150.0,160.0,207.0,330.0,160.0,312.0
1101001000011100,227.0,152.0,59.0,217.0,381.0,328.0,142.0,267.0
1101000001000000,227.0,403.0,210.0,277.0,166.0,662.0,273.0,82.0
1001101000001101,227.0,198.0,61.0,165.0,157.0,225.0,218.0,478.0
1111101001000001,226.0,166.0,24.0,153.0,239.0,317.0,354.0,112.0
1111000110111001,226.0,28.0,33.0,76.0,232.0,223.0,188.0,276.0
1000011100101101,226.0,75.0,130.0,92.0,39.0,78.0,77.0,256.0
1000001011001001,226.0,633.0,50.0,76.0,53.0,298.0,247.0,13.0
1111100100001101,225.0,189.0,26.0,163.0,103.0,139.0,208.0,379.0
1110010011001001,225.0,279.0,56.0,379.0,163.0,357.0,349.0,74.0
1010010010101001,225.0,229.0,193.0,216.0,99.0,259.0,97.0,163.0
1111000000110101,224.0,113.0,22.0,153.0,243.0,191.0,327.0,704.0
1110010000100011,224.0,474.0,41.0,242.0,399.0,715.0,506.0,418.0
1111011011111001,223.0,135.0,155.0,222.0,245.0,167.0,181.0,92.0
1110010101011001,223.0,232.0,82.0,242.0,301.0,542.0,500.0,526.0
1110001011100111,223.0,26.0,19.0,89.0,104.0,232.0,145.0,18.0
1010101110100001,223.0,25.0,48.0,98.0,64.0,101.0,141.0,20.0
1111011101001001,222.0,128.0,10.0,251.0,346.0,299.0,414.0,255.0
1110111010011011,222.0,50.0,17.0,87.0,165.0,172.0,100.0,321.0
1101100000010001,222.0,146.0,22.0,227.0,220.0,386.0,371.0,481.0
1101010000110100,222.0,15.0,25.0,111.0,58.0,34.0,80.0,191.0
1101000011000001,222.0,220.0,145.0,191.0,71.0,391.0,458.0,46.0
1100010010100101,222.0,97.0,113.0,427.0,150.0,274.0,292.0,277.0
0110011010010000,222.0,99.0,55.0,23.0,146.0,178.0,129.0,50.0
1101011010000101,221.0,371.0,865.0,123.0,183.0,300.0,99.0,421.0
1100001101001010,221.0,189.0,154.0,277.0,61.0,360.0,200.0,15.0
1011100010101101,221.0,40.0,38.0,92.0,87.0,108.0,52.0,122.0
1001000010100011,221.0,108.0,38.0,146.0,97.0,127.0,169.0,64.0
1111011001111000,220.0,123.0,105.0,74.0,292.0,403.0,159.0,90.0
1101001001100010,220.0,958.0,228.0,287.0,354.0,596.0,356.0,25.0
1101000001110011,220.0,177.0,42.0,138.0,172.0,190.0,199.0,380.0
1100010100001011,220.0,383.0,92.0,207.0,436.0,474.0,380.0,361.0
1100010001010100,220.0,684.0,200.0,1368.0,1140.0,1916.0,1162.0,703.0
1000110001010001,220.0,254.0,193.0,47.0,21.0,56.0,26.0,25.0
1100110111100011,219.0,73.0,23.0,105.0,28.0,76.0,154.0,3.0
1010011111010010,219.0,265.0,13.0,59.0,72.0,181.0,95.0,12.0
1010000101100001,219.0,199.0,11.0,93.0,50.0,157.0,106.0,20.0
1000011000100000,219.0,126.0,306.0,61.0,49.0,77.0,41.0,32.0
1111001100110011,218.0,58.0,23.0,70.0,154.0,115.0,73.0,188.0
1110011010010101,218.0,45.0,53.0,207.0,251.0,140.0,105.0,343.0
1010100011001100,218.0,11.0,3.0,72.0,27.0,39.0,40.0,3.0
1000010000001011,218.0,309.0,136.0,338.0,448.0,330.0,347.0,408.0
1111110000110011,217.0,268.0,212.0,199.0,95.0,173.0,140.0,208.0
1111011100111110,217.0,66.0,46.0,207.0,211.0,222.0,217.0,164.0
1110010111101011,217.0,611.0,132.0,563.0,434.0,617.0,638.0,93.0
1110010100100001,217.0,150.0,77.0,493.0,330.0,501.0,623.0,445.0
1110010000100001,217.0,298.0,58.0,726.0,787.0,493.0,607.0,574.0
1010001000001100,217.0,164.0,93.0,62.0,156.0,48.0,64.0,136.0
1111100110010001,216.0,246.0,32.0,448.0,187.0,415.0,175.0,674.0
1110011001001101,216.0,156.0,71.0,150.0,242.0,214.0,260.0,389.0
1110010001101101,216.0,208.0,282.0,226.0,194.0,355.0,350.0,438.0
1110011000101011,215.0,110.0,124.0,83.0,241.0,334.0,257.0,286.0
1111101110101110,214.0,213.0,234.0,773.0,532.0,600.0,398.0,323.0
1111101000000110,214.0,121.0,84.0,294.0,83.0,331.0,160.0,141.0
1110010000001011,214.0,209.0,40.0,734.0,424.0,566.0,560.0,563.0
1101100101000011,214.0,48.0,11.0,279.0,69.0,165.0,203.0,63.0
1101000001010111,214.0,113.0,82.0,81.0,57.0,54.0,64.0,137.0
1100111110000101,214.0,44.0,39.0,92.0,85.0,134.0,196.0,148.0
1100010011111011,214.0,351.0,92.0,589.0,445.0,1107.0,674.0,149.0
1011000001000001,214.0,188.0,32.0,209.0,116.0,363.0,152.0,209.0
1111000001101010,213.0,182.0,34.0,287.0,196.0,255.0,185.0,21.0
1110110000000011,213.0,49.0,41.0,228.0,145.0,355.0,247.0,141.0
1110011010100101,213.0,49.0,96.0,42.0,221.0,149.0,322.0,256.0
1101000000001101,213.0,111.0,45.0,183.0,272.0,205.0,150.0,714.0
1010011001100011,212.0,72.0,34.0,113.0,140.0,188.0,190.0,46.0
1001110010000101,212.0,181.0,194.0,440.0,558.0,653.0,592.0,1068.0
1001000000011101,212.0,396.0,239.0,235.0,421.0,185.0,447.0,1140.0
1111110110100001,211.0,218.0,129.0,93.0,144.0,444.0,194.0,157.0
1110010101010011,211.0,169.0,43.0,328.0,391.0,539.0,507.0,393.0
1110010100111101,211.0,119.0,81.0,258.0,322.0,185.0,368.0,634.0
1101011110100011,211.0,134.0,102.0,181.0,260.0,281.0,284.0,241.0
1101011001000001,211.0,457.0,37.0,447.0,615.0,1211.0,386.0,243.0
1101001010010011,211.0,48.0,45.0,163.0,158.0,274.0,114.0,271.0
1101001001100111,211.0,132.0,26.0,88.0,89.0,98.0,154.0,160.0
1101000000001000,211.0,150.0,16.0,210.0,373.0,225.0,272.0,154.0
1100100100111101,211.0,95.0,7.0,12.0,7.0,6.0,19.0,19.0
1100010010101011,211.0,73.0,32.0,278.0,164.0,425.0,300.0,426.0
1110010010100101,210.0,183.0,44.0,296.0,478.0,595.0,453.0,496.0
1101011101010001,210.0,128.0,80.0,283.0,246.0,195.0,481.0,457.0
1101000100110011,210.0,168.0,101.0,299.0,349.0,266.0,367.0,369.0
1101000011010110,210.0,179.0,194.0,113.0,62.0,229.0,87.0,27.0
1111011110101100,209.0,192.0,182.0,129.0,128.0,217.0,193.0,62.0
1110010101101010,209.0,331.0,99.0,311.0,390.0,396.0,354.0,40.0
1110010101000110,208.0,397.0,988.0,418.0,173.0,620.0,327.0,82.0
1110010011001011,208.0,362.0,88.0,384.0,281.0,493.0,335.0,31.0
1101011101010100,208.0,114.0,17.0,309.0,269.0,403.0,172.0,224.0
1011100001111001,208.0,177.0,73.0,77.0,197.0,86.0,91.0,297.0
1010111010000101,208.0,35.0,50.0,26.0,58.0,36.0,64.0,64.0
1001011000001001,208.0,61.0,219.0,50.0,119.0,105.0,78.0,213.0
1001000011000011,208.0,153.0,15.0,407.0,108.0,435.0,506.0,22.0
