variant,counts_9114_e_F_8,counts_9114_e_F_7,counts_9114_e_F_6,counts_9114_e_F_4,counts_9114_e_F_5,counts_9114_e_F_1,counts_9114_e_F_2,counts_9114_e_F_3
1110010000001101,927.0,407.0,327.0,304.0,425.0,458.0,113.0,182.0
1000010000110111,914.0,598.0,467.0,337.0,464.0,120.0,241.0,257.0
1111000000110101,912.0,257.0,265.0,576.0,506.0,159.0,83.0,140.0
1110010100011011,910.0,572.0,405.0,249.0,224.0,257.0,76.0,178.0
1001000110011101,905.0,524.0,311.0,131.0,129.0,81.0,62.0,74.0
0001111110011011,898.0,771.0,420.0,270.0,525.0,179.0,112.0,180.0
1010011000101110,897.0,1337.0,767.0,1188.0,845.0,305.0,234.0,391.0
1110010000100111,885.0,389.0,235.0,303.0,412.0,339.0,202.0,154.0
1111000000000001,878.0,455.0,396.0,268.0,439.0,116.0,20.0,211.0
1100010110000100,878.0,802.0,931.0,1396.0,772.0,234.0,225.0,473.0
1111010000011111,866.0,175.0,192.0,128.0,390.0,70.0,43.0,20.0
1100010100111101,862.0,379.0,332.0,260.0,277.0,104.0,162.0,221.0
1100010000001111,856.0,325.0,507.0,750.0,347.0,196.0,295.0,275.0
1110010010010001,855.0,636.0,869.0,456.0,546.0,129.0,40.0,584.0
1100010000001101,847.0,426.0,247.0,356.0,237.0,159.0,184.0,391.0
1011000010001101,841.0,442.0,234.0,229.0,169.0,224.0,89.0,280.0
1100010111011101,838.0,386.0,402.0,424.0,381.0,273.0,69.0,254.0
1110010100011001,837.0,620.0,541.0,601.0,406.0,321.0,57.0,149.0
1110010000000011,837.0,524.0,637.0,499.0,303.0,132.0,84.0,251.0
1000010000011111,828.0,403.0,255.0,348.0,506.0,569.0,294.0,201.0
1000010000101101,823.0,274.0,148.0,381.0,593.0,154.0,187.0,171.0
1111110010011111,818.0,622.0,336.0,416.0,301.0,113.0,197.0,228.0
1111011100010001,818.0,528.0,276.0,374.0,254.0,166.0,28.0,183.0
1110010101111101,811.0,474.0,227.0,351.0,452.0,76.0,210.0,383.0
1111011100011101,810.0,254.0,131.0,241.0,480.0,245.0,27.0,55.0
1111001000011111,810.0,251.0,132.0,141.0,221.0,129.0,184.0,29.0
1101100100011011,806.0,282.0,166.0,359.0,266.0,340.0,84.0,92.0
1101000110100001,800.0,167.0,229.0,317.0,304.0,43.0,121.0,174.0
1110010100101111,798.0,398.0,272.0,316.0,263.0,108.0,190.0,256.0
1111101110010011,796.0,568.0,313.0,875.0,512.0,271.0,228.0,170.0
1001010000001001,796.0,361.0,324.0,787.0,869.0,450.0,123.0,223.0
1011000000011111,795.0,427.0,93.0,89.0,113.0,169.0,35.0,150.0
1111101100101101,791.0,604.0,133.0,239.0,282.0,187.0,75.0,92.0
1110010110111101,791.0,429.0,303.0,401.0,415.0,370.0,83.0,159.0
1111011001111011,789.0,398.0,492.0,317.0,365.0,137.0,103.0,129.0
1101101001000011,789.0,2542.0,1330.0,2417.0,2009.0,837.0,447.0,743.0
1101000010101001,788.0,549.0,214.0,270.0,338.0,442.0,41.0,187.0
1101011110101101,780.0,201.0,309.0,200.0,267.0,119.0,35.0,137.0
1111000110011001,777.0,211.0,308.0,674.0,383.0,220.0,41.0,260.0
0101101100010101,777.0,319.0,600.0,232.0,280.0,142.0,167.0,125.0
1111000110011011,774.0,574.0,282.0,247.0,626.0,245.0,52.0,221.0
1111101100011101,768.0,302.0,162.0,156.0,93.0,173.0,54.0,88.0
1111011101001101,766.0,343.0,112.0,148.0,217.0,62.0,144.0,78.0
1100010100000001,765.0,546.0,376.0,791.0,885.0,354.0,111.0,304.0
1101000100001101,759.0,245.0,379.0,459.0,100.0,130.0,271.0,95.0
1101010000011011,758.0,522.0,137.0,210.0,521.0,344.0,176.0,144.0
1100010010000001,757.0,502.0,501.0,593.0,416.0,248.0,112.0,378.0
1100010010010011,752.0,567.0,400.0,540.0,341.0,124.0,258.0,276.0
0011000100101011,752.0,460.0,514.0,527.0,549.0,215.0,48.0,163.0
1110010101011101,751.0,371.0,144.0,544.0,270.0,146.0,87.0,497.0
1110010100011101,749.0,861.0,328.0,510.0,262.0,436.0,147.0,283.0
1111101000001101,748.0,423.0,210.0,240.0,322.0,358.0,56.0,113.0
1111000010010111,744.0,186.0,334.0,142.0,158.0,151.0,61.0,164.0
1100010110110111,744.0,316.0,256.0,406.0,257.0,257.0,46.0,156.0
1111101110011101,738.0,295.0,174.0,223.0,101.0,116.0,145.0,69.0
1111000100001101,737.0,465.0,468.0,299.0,345.0,228.0,196.0,92.0
1100010101011111,735.0,265.0,317.0,285.0,323.0,171.0,82.0,163.0
1011010100111101,735.0,201.0,181.0,139.0,244.0,90.0,30.0,93.0
1110010000100001,734.0,753.0,272.0,659.0,448.0,251.0,97.0,85.0
1110010000001011,734.0,625.0,408.0,999.0,706.0,302.0,176.0,451.0
1110010010010011,733.0,417.0,293.0,330.0,323.0,164.0,219.0,102.0
1100010001010100,732.0,1035.0,1056.0,1137.0,1087.0,774.0,125.0,451.0
1110010000011101,729.0,209.0,136.0,188.0,158.0,167.0,225.0,75.0
1111101000001111,726.0,584.0,187.0,285.0,223.0,254.0,41.0,229.0
1111001110011101,726.0,191.0,37.0,59.0,109.0,112.0,42.0,168.0
1110010110010011,726.0,761.0,189.0,543.0,360.0,194.0,187.0,211.0
1101101110011011,726.0,318.0,284.0,263.0,429.0,54.0,47.0,152.0
1111000001011011,725.0,188.0,162.0,299.0,107.0,127.0,210.0,78.0
1111000101101101,723.0,379.0,196.0,322.0,246.0,37.0,66.0,82.0
1111000110010011,722.0,275.0,331.0,318.0,273.0,66.0,39.0,81.0
1100010100001101,722.0,358.0,275.0,265.0,311.0,205.0,67.0,278.0
1000010100111101,722.0,346.0,159.0,284.0,341.0,64.0,45.0,185.0
1111000100001011,719.0,500.0,152.0,419.0,371.0,67.0,105.0,115.0
1011101101010111,719.0,539.0,206.0,218.0,326.0,187.0,37.0,173.0
1110010010001111,716.0,614.0,179.0,385.0,257.0,368.0,78.0,73.0
1011000010011101,715.0,227.0,190.0,319.0,440.0,51.0,113.0,62.0
1111011100010111,714.0,203.0,121.0,237.0,193.0,71.0,83.0,164.0
1111011000010011,712.0,368.0,183.0,377.0,321.0,215.0,93.0,251.0
1010010110011101,712.0,270.0,174.0,183.0,324.0,121.0,161.0,265.0
1100010100010111,711.0,514.0,144.0,348.0,243.0,273.0,85.0,92.0
1101101100001101,710.0,158.0,144.0,235.0,296.0,128.0,76.0,139.0
1101011001000101,709.0,418.0,384.0,397.0,431.0,48.0,49.0,203.0
1011100001111101,708.0,136.0,55.0,110.0,66.0,26.0,26.0,141.0
1101011101011011,705.0,357.0,225.0,248.0,145.0,69.0,37.0,205.0
1111011110101111,704.0,270.0,93.0,133.0,195.0,74.0,37.0,137.0
1110010000111111,700.0,262.0,178.0,159.0,61.0,53.0,85.0,47.0
1111000100011001,698.0,127.0,327.0,125.0,332.0,475.0,57.0,209.0
1001101000001101,698.0,281.0,337.0,390.0,550.0,130.0,39.0,162.0
1111011100011011,697.0,358.0,286.0,183.0,230.0,74.0,172.0,282.0
1111010001111101,697.0,292.0,151.0,184.0,269.0,352.0,27.0,143.0
1101000100010011,697.0,230.0,325.0,123.0,181.0,213.0,79.0,86.0
1100001110010101,691.0,214.0,95.0,235.0,152.0,159.0,45.0,54.0
1101000000010011,690.0,453.0,307.0,396.0,256.0,181.0,111.0,283.0
1110010110011111,689.0,226.0,281.0,304.0,283.0,119.0,182.0,63.0
1101011000010101,687.0,298.0,258.0,144.0,312.0,153.0,52.0,64.0
1110101000011101,686.0,373.0,254.0,420.0,147.0,92.0,75.0,111.0
1100011000011101,686.0,198.0,376.0,260.0,189.0,62.0,115.0,242.0
1111000000111101,684.0,316.0,337.0,216.0,132.0,297.0,74.0,48.0
1110010010011011,684.0,525.0,408.0,565.0,279.0,122.0,69.0,306.0
1101010000000011,683.0,317.0,319.0,663.0,359.0,232.0,48.0,292.0
1111011010010011,682.0,424.0,121.0,246.0,202.0,98.0,52.0,205.0
1100010000001100,682.0,333.0,431.0,681.0,772.0,547.0,87.0,251.0
1110010100101101,679.0,268.0,170.0,231.0,230.0,200.0,87.0,231.0
1000010100010011,678.0,424.0,385.0,454.0,345.0,194.0,221.0,231.0
1101100000010011,675.0,231.0,207.0,215.0,122.0,339.0,181.0,98.0
0110011010000011,674.0,332.0,261.0,250.0,326.0,155.0,142.0,72.0
1110010000011010,672.0,490.0,208.0,316.0,474.0,190.0,45.0,240.0
1110010100000110,669.0,369.0,260.0,529.0,718.0,167.0,53.0,191.0
1101101010001101,669.0,369.0,252.0,326.0,215.0,293.0,193.0,101.0
1100010110010111,668.0,462.0,188.0,588.0,267.0,368.0,143.0,308.0
1110101110010011,666.0,494.0,479.0,645.0,473.0,411.0,82.0,156.0
1010010000110101,665.0,454.0,170.0,291.0,129.0,229.0,75.0,87.0
1000010000000101,664.0,477.0,375.0,307.0,207.0,97.0,162.0,312.0
1110010100010010,662.0,673.0,304.0,400.0,312.0,515.0,73.0,201.0
1101000001001101,662.0,662.0,382.0,192.0,451.0,151.0,135.0,174.0
1100011100001101,662.0,832.0,426.0,189.0,340.0,155.0,80.0,127.0
1000010000011001,662.0,228.0,269.0,297.0,172.0,122.0,71.0,163.0
1111000101110111,661.0,564.0,206.0,512.0,192.0,283.0,163.0,213.0
1101010010101101,660.0,173.0,114.0,178.0,107.0,120.0,21.0,50.0
1100010110111101,660.0,358.0,357.0,240.0,424.0,137.0,39.0,156.0
1100010100111001,660.0,218.0,210.0,467.0,182.0,89.0,153.0,122.0
1111101000000011,659.0,522.0,378.0,472.0,503.0,158.0,46.0,193.0
1010010110111011,658.0,483.0,202.0,293.0,237.0,133.0,174.0,118.0
1100010010100111,657.0,349.0,186.0,382.0,321.0,136.0,258.0,79.0
1011101100011101,657.0,297.0,203.0,131.0,95.0,83.0,63.0,191.0
1011000100001101,657.0,116.0,435.0,376.0,189.0,46.0,86.0,43.0
1011000010000011,657.0,205.0,288.0,337.0,209.0,300.0,33.0,135.0
1000001000000101,657.0,204.0,183.0,118.0,72.0,28.0,42.0,50.0
1101111110100111,656.0,209.0,129.0,250.0,228.0,121.0,35.0,149.0
1101010010001101,656.0,388.0,176.0,227.0,172.0,109.0,173.0,63.0
1001000100101101,656.0,132.0,150.0,220.0,161.0,92.0,60.0,31.0
1110010100010100,655.0,379.0,125.0,202.0,331.0,72.0,125.0,222.0
1110010010011101,655.0,280.0,269.0,218.0,208.0,108.0,70.0,209.0
1110010000000101,655.0,413.0,271.0,415.0,267.0,412.0,279.0,218.0
1111111101111101,654.0,330.0,52.0,182.0,119.0,109.0,53.0,79.0
1111010000010111,653.0,182.0,155.0,105.0,226.0,114.0,65.0,33.0
1111000001111111,653.0,188.0,219.0,157.0,162.0,39.0,160.0,93.0
1101101001111011,653.0,531.0,184.0,388.0,221.0,79.0,280.0,111.0
0111101011111001,653.0,671.0,403.0,541.0,397.0,464.0,41.0,289.0
1110010110011001,651.0,218.0,358.0,714.0,271.0,484.0,150.0,226.0
1101010100011001,651.0,272.0,263.0,365.0,276.0,115.0,300.0,132.0
1100010000000101,650.0,323.0,293.0,490.0,445.0,494.0,90.0,293.0
1110010101111100,649.0,417.0,294.0,577.0,222.0,55.0,132.0,369.0
1100010010001101,649.0,343.0,205.0,428.0,366.0,478.0,501.0,149.0
1111011000010111,648.0,291.0,299.0,236.0,480.0,84.0,26.0,157.0
1110010011011111,648.0,279.0,156.0,192.0,351.0,161.0,32.0,318.0
1101101000011110,648.0,405.0,154.0,405.0,311.0,80.0,79.0,245.0
1111011001110101,647.0,392.0,137.0,508.0,168.0,95.0,23.0,366.0
1111011001001101,647.0,303.0,92.0,235.0,233.0,93.0,59.0,55.0
1111010100001001,647.0,411.0,119.0,164.0,162.0,29.0,43.0,117.0
1001000000010011,646.0,212.0,209.0,206.0,513.0,382.0,199.0,222.0
1101101000011101,645.0,249.0,159.0,300.0,195.0,155.0,199.0,85.0
1111001001111101,644.0,338.0,246.0,413.0,297.0,195.0,17.0,144.0
1101000110011101,643.0,314.0,131.0,108.0,226.0,137.0,148.0,56.0
1100010110111111,643.0,253.0,171.0,238.0,259.0,213.0,155.0,94.0
1011110101000100,642.0,515.0,324.0,408.0,831.0,111.0,72.0,136.0
1001000000110011,641.0,323.0,90.0,225.0,274.0,72.0,71.0,123.0
1100010010011001,639.0,515.0,166.0,410.0,174.0,230.0,47.0,162.0
1110001110010011,638.0,397.0,80.0,152.0,202.0,234.0,36.0,59.0
1100010100010100,638.0,343.0,217.0,404.0,461.0,120.0,113.0,147.0
1100010000001011,638.0,481.0,420.0,694.0,483.0,297.0,294.0,465.0
0100010101011101,638.0,301.0,207.0,360.0,272.0,235.0,76.0,153.0
1100010000101101,637.0,419.0,193.0,484.0,490.0,653.0,342.0,203.0
1001011100101101,637.0,368.0,282.0,583.0,365.0,77.0,227.0,151.0
1110001000001101,635.0,443.0,293.0,175.0,162.0,113.0,100.0,262.0
1101100100100111,635.0,363.0,194.0,258.0,386.0,41.0,26.0,120.0
1110011110011101,634.0,177.0,105.0,61.0,250.0,58.0,23.0,78.0
1101101001101101,634.0,419.0,345.0,379.0,348.0,93.0,428.0,208.0
0011011110100111,634.0,434.0,124.0,186.0,418.0,44.0,94.0,64.0
0011011100011001,634.0,412.0,145.0,350.0,195.0,59.0,20.0,84.0
1111011000001101,633.0,215.0,163.0,362.0,207.0,616.0,103.0,59.0
1110010100010111,633.0,534.0,267.0,374.0,213.0,77.0,43.0,97.0
1001011110100111,633.0,299.0,68.0,95.0,77.0,28.0,28.0,24.0
1011000010010000,631.0,319.0,389.0,331.0,304.0,388.0,151.0,138.0
1101000010011111,630.0,294.0,146.0,281.0,190.0,72.0,36.0,180.0
1110010101111001,629.0,647.0,345.0,861.0,293.0,84.0,156.0,373.0
1100011110000101,629.0,633.0,505.0,714.0,573.0,424.0,325.0,372.0
1011000100001011,629.0,190.0,346.0,210.0,331.0,110.0,26.0,169.0
1001011100010111,629.0,338.0,56.0,165.0,123.0,83.0,28.0,69.0
0111001010000011,629.0,309.0,243.0,252.0,211.0,75.0,24.0,149.0
0100010000011011,629.0,565.0,357.0,255.0,402.0,224.0,142.0,186.0
1100010110011001,628.0,502.0,478.0,454.0,367.0,431.0,375.0,166.0
1011010010101001,628.0,478.0,357.0,365.0,506.0,325.0,245.0,220.0
1000010010010011,628.0,327.0,419.0,469.0,277.0,159.0,192.0,131.0
0111010010011101,628.0,191.0,126.0,171.0,88.0,35.0,16.0,173.0
1111000001101101,627.0,250.0,298.0,246.0,299.0,275.0,87.0,185.0
1101010110010111,627.0,145.0,103.0,111.0,224.0,33.0,52.0,117.0
0100010100011001,627.0,176.0,345.0,218.0,259.0,160.0,244.0,151.0
1111011000001111,626.0,246.0,286.0,194.0,140.0,256.0,124.0,182.0
1100010010010101,626.0,257.0,316.0,243.0,148.0,437.0,145.0,112.0
1000010010010101,626.0,409.0,309.0,271.0,150.0,198.0,42.0,37.0
1110010001110101,625.0,264.0,412.0,345.0,169.0,129.0,54.0,137.0
1110010000011001,625.0,203.0,240.0,319.0,185.0,149.0,33.0,293.0
1110010101011011,624.0,517.0,362.0,473.0,355.0,320.0,91.0,301.0
0110010000100101,624.0,405.0,276.0,410.0,350.0,142.0,133.0,93.0
1111101000101101,623.0,176.0,140.0,128.0,290.0,256.0,22.0,109.0
0101010000001101,623.0,119.0,293.0,174.0,155.0,58.0,22.0,37.0
1111001000100001,622.0,217.0,90.0,141.0,160.0,103.0,171.0,134.0
1110010100010001,620.0,373.0,210.0,346.0,277.0,430.0,118.0,257.0
1110010000101011,620.0,592.0,201.0,442.0,308.0,175.0,70.0,103.0
1111000110010101,619.0,243.0,204.0,143.0,375.0,106.0,39.0,58.0
1111000011101101,619.0,123.0,281.0,391.0,285.0,159.0,22.0,90.0
1111000000001001,619.0,215.0,240.0,389.0,234.0,214.0,66.0,137.0
1110010101111111,619.0,365.0,190.0,252.0,163.0,216.0,314.0,100.0
1110010101101101,618.0,406.0,223.0,313.0,436.0,258.0,56.0,439.0
1010010010010011,618.0,478.0,369.0,323.0,307.0,138.0,91.0,235.0
1011000001000111,617.0,220.0,145.0,85.0,90.0,63.0,23.0,58.0
1100010010011011,616.0,352.0,374.0,387.0,300.0,393.0,88.0,168.0
1100010000010001,616.0,506.0,464.0,489.0,323.0,105.0,94.0,244.0
1110010001001111,615.0,607.0,456.0,423.0,420.0,146.0,55.0,167.0
1111001100111111,614.0,352.0,112.0,240.0,203.0,20.0,22.0,116.0
1111000010001101,614.0,360.0,169.0,193.0,226.0,159.0,223.0,70.0
1101101110111101,614.0,355.0,147.0,206.0,182.0,42.0,30.0,127.0
1101011000110101,614.0,366.0,69.0,124.0,450.0,55.0,43.0,91.0
1101000001111011,613.0,342.0,190.0,254.0,290.0,116.0,35.0,269.0
1101010000010011,612.0,192.0,144.0,181.0,209.0,69.0,89.0,105.0
1101000010010101,612.0,355.0,254.0,369.0,159.0,231.0,138.0,136.0
1100010100010000,612.0,872.0,508.0,429.0,735.0,346.0,152.0,495.0
1101011010010011,611.0,598.0,168.0,321.0,272.0,177.0,94.0,194.0
1101000100010111,611.0,487.0,225.0,135.0,158.0,195.0,81.0,143.0
1111010010010011,610.0,373.0,82.0,345.0,232.0,138.0,163.0,58.0
1111001100011101,610.0,294.0,147.0,112.0,226.0,52.0,68.0,80.0
1101011010001011,610.0,546.0,472.0,312.0,152.0,345.0,46.0,328.0
1101000111011001,610.0,595.0,458.0,809.0,380.0,120.0,227.0,191.0
1101000110011011,610.0,321.0,126.0,301.0,150.0,116.0,93.0,300.0
1010010110011111,610.0,253.0,132.0,241.0,124.0,129.0,62.0,56.0
1110010000000111,609.0,430.0,375.0,673.0,610.0,76.0,101.0,293.0
1110010110100011,608.0,319.0,375.0,436.0,255.0,816.0,143.0,189.0
1110010000010101,607.0,309.0,326.0,425.0,249.0,201.0,181.0,232.0
1101000000011101,607.0,168.0,127.0,222.0,290.0,72.0,229.0,87.0
1000010101111111,607.0,836.0,305.0,608.0,563.0,145.0,155.0,196.0
1111101110111101,606.0,155.0,187.0,350.0,101.0,78.0,32.0,48.0
1010010100011001,606.0,361.0,120.0,305.0,312.0,61.0,38.0,114.0
1000010110011111,606.0,288.0,150.0,333.0,194.0,75.0,96.0,75.0
1101010100011101,605.0,313.0,300.0,250.0,267.0,70.0,23.0,85.0
1010010000000100,604.0,150.0,176.0,278.0,350.0,84.0,44.0,215.0
1111011110000100,603.0,137.0,60.0,85.0,166.0,22.0,85.0,23.0
1111011100111101,603.0,545.0,160.0,95.0,375.0,154.0,72.0,211.0
1110010101011111,602.0,325.0,232.0,199.0,395.0,96.0,43.0,167.0
1101000000000011,602.0,333.0,216.0,552.0,261.0,126.0,283.0,401.0
1111000000101000,601.0,607.0,629.0,649.0,661.0,199.0,60.0,409.0
1110010010111011,601.0,316.0,223.0,225.0,230.0,138.0,89.0,284.0
1110010001110011,601.0,562.0,326.0,308.0,554.0,176.0,130.0,341.0
1101011100011101,600.0,284.0,151.0,279.0,442.0,63.0,41.0,146.0
1100010001111101,600.0,779.0,326.0,518.0,366.0,439.0,127.0,189.0
1110010010100011,599.0,337.0,392.0,402.0,506.0,413.0,130.0,215.0
1010010100011101,599.0,283.0,190.0,228.0,290.0,220.0,368.0,399.0
1111011101010011,598.0,260.0,171.0,293.0,458.0,111.0,246.0,136.0
1110010010011001,598.0,456.0,198.0,439.0,228.0,215.0,222.0,175.0
1101011100000111,597.0,267.0,264.0,243.0,283.0,34.0,34.0,73.0
1000010000001101,597.0,412.0,244.0,166.0,335.0,107.0,63.0,78.0
1010010001011001,596.0,421.0,414.0,343.0,373.0,114.0,49.0,286.0
1010010001001111,596.0,669.0,282.0,700.0,502.0,85.0,177.0,349.0
1111001010100001,595.0,360.0,147.0,117.0,331.0,120.0,73.0,166.0
1111011000010101,593.0,161.0,213.0,64.0,156.0,175.0,90.0,33.0
1101011000001101,593.0,184.0,463.0,250.0,312.0,256.0,159.0,123.0
1011000101110001,593.0,303.0,164.0,353.0,454.0,395.0,78.0,149.0
1111101001001101,592.0,426.0,384.0,310.0,255.0,267.0,43.0,93.0
1011011110010011,591.0,165.0,298.0,150.0,71.0,69.0,23.0,58.0
1111011010101101,590.0,372.0,163.0,156.0,85.0,71.0,29.0,66.0
1100010110011101,590.0,465.0,272.0,284.0,385.0,187.0,127.0,123.0
1011001010011111,590.0,105.0,159.0,54.0,77.0,79.0,22.0,64.0
1010010000011001,590.0,162.0,245.0,182.0,182.0,62.0,40.0,207.0
1111000001001101,589.0,304.0,151.0,330.0,309.0,180.0,56.0,103.0
1101011110010111,589.0,349.0,199.0,159.0,200.0,374.0,113.0,109.0
1011000010011011,589.0,354.0,160.0,362.0,162.0,59.0,147.0,84.0
1111011110110101,588.0,249.0,220.0,171.0,497.0,162.0,23.0,157.0
0110010100110011,588.0,590.0,478.0,560.0,571.0,229.0,216.0,168.0
0110010110010011,587.0,361.0,198.0,307.0,374.0,70.0,85.0,73.0
1111011010000001,586.0,333.0,417.0,230.0,348.0,84.0,57.0,187.0
1111000100011011,586.0,467.0,353.0,297.0,232.0,103.0,101.0,120.0
0100010110010001,586.0,163.0,304.0,345.0,519.0,342.0,166.0,223.0
1111001010011011,585.0,148.0,186.0,166.0,194.0,76.0,68.0,62.0
1001000010101101,585.0,321.0,168.0,189.0,167.0,120.0,32.0,60.0
1110010000010011,584.0,461.0,204.0,360.0,462.0,233.0,156.0,259.0
1101101001001101,583.0,266.0,331.0,512.0,355.0,63.0,59.0,150.0
1101000010111100,583.0,71.0,130.0,108.0,152.0,210.0,35.0,39.0
1111110010010011,582.0,295.0,69.0,154.0,203.0,34.0,93.0,73.0
1110010000110101,582.0,380.0,235.0,523.0,396.0,262.0,207.0,71.0
1101101010000011,582.0,269.0,443.0,703.0,642.0,224.0,114.0,117.0
1100010010111101,582.0,289.0,148.0,463.0,235.0,62.0,66.0,54.0
1001001100011111,582.0,178.0,185.0,125.0,115.0,117.0,17.0,78.0
1111110001010101,581.0,295.0,186.0,201.0,72.0,599.0,12.0,57.0
1111001100010000,581.0,300.0,428.0,808.0,350.0,242.0,36.0,137.0
1100010100011100,581.0,394.0,215.0,423.0,344.0,216.0,85.0,110.0
1011001000011101,580.0,117.0,96.0,307.0,35.0,20.0,49.0,119.0
1011001000001101,580.0,270.0,78.0,152.0,194.0,114.0,25.0,77.0
1100010101010011,579.0,812.0,306.0,588.0,398.0,77.0,95.0,197.0
1110010000011011,578.0,454.0,363.0,372.0,404.0,318.0,66.0,222.0
1101011101101101,578.0,174.0,179.0,220.0,421.0,64.0,27.0,94.0
1101011010110100,578.0,215.0,198.0,306.0,146.0,456.0,225.0,36.0
1101101100011011,577.0,389.0,278.0,394.0,384.0,160.0,47.0,266.0
1100010001111111,577.0,284.0,136.0,458.0,392.0,158.0,58.0,114.0
1111000101010001,576.0,315.0,164.0,275.0,189.0,292.0,66.0,55.0
1111000000001101,576.0,233.0,176.0,291.0,208.0,183.0,110.0,214.0
1100010110001111,576.0,527.0,148.0,249.0,316.0,225.0,110.0,219.0
1101010110101001,575.0,407.0,294.0,375.0,407.0,131.0,19.0,209.0
1101010010100011,574.0,428.0,337.0,650.0,436.0,180.0,147.0,259.0
1101001001111001,574.0,442.0,159.0,199.0,414.0,250.0,78.0,123.0
0101010100011011,574.0,345.0,263.0,343.0,306.0,168.0,16.0,198.0
1111010000000101,573.0,178.0,169.0,123.0,146.0,104.0,75.0,56.0
1110010110111011,573.0,251.0,237.0,272.0,414.0,97.0,54.0,226.0
1110010011110111,573.0,687.0,446.0,1036.0,910.0,742.0,144.0,336.0
0011101110011101,573.0,391.0,173.0,144.0,189.0,142.0,145.0,126.0
1100010101011101,572.0,336.0,277.0,294.0,396.0,177.0,41.0,177.0
1000010000011011,572.0,547.0,226.0,387.0,361.0,413.0,115.0,560.0
1101000100110101,571.0,94.0,78.0,270.0,128.0,154.0,297.0,143.0
1000010110010001,571.0,202.0,195.0,330.0,354.0,201.0,142.0,190.0
0101101000001001,571.0,455.0,518.0,299.0,410.0,172.0,76.0,164.0
1101111100000111,570.0,144.0,131.0,134.0,136.0,25.0,26.0,92.0
1101000101110111,570.0,257.0,145.0,319.0,281.0,57.0,26.0,75.0
1011011000001101,570.0,327.0,268.0,123.0,149.0,405.0,51.0,143.0
1111011010001011,568.0,790.0,390.0,218.0,395.0,67.0,32.0,113.0
1110010010011111,568.0,380.0,214.0,308.0,443.0,124.0,36.0,75.0
1101010000011101,568.0,393.0,132.0,360.0,182.0,701.0,143.0,65.0
1111000010111001,567.0,220.0,112.0,144.0,123.0,34.0,226.0,82.0
