variant,counts_9114_i_F_1,counts_9114_i_F_3,counts_9114_i_F_2,counts_9114_i_F_6,counts_9114_i_F_7,counts_9114_i_F_5,counts_9114_i_F_4,counts_9114_i_F_8
1001011101010010,635.0,153.0,31.0,131.0,115.0,178.0,185.0,83.0
0111010110010011,635.0,50.0,44.0,123.0,197.0,128.0,108.0,382.0
1111111000011001,632.0,91.0,304.0,78.0,148.0,185.0,153.0,232.0
0111100001000000,632.0,125.0,141.0,52.0,61.0,77.0,63.0,9.0
1111100111100100,631.0,243.0,51.0,567.0,451.0,508.0,615.0,168.0
1011011101111101,626.0,48.0,41.0,140.0,96.0,169.0,80.0,188.0
1111000111111110,622.0,175.0,106.0,80.0,166.0,71.0,109.0,30.0
1110001001111010,622.0,297.0,25.0,584.0,278.0,855.0,442.0,292.0
1011111001010011,618.0,122.0,344.0,68.0,141.0,121.0,33.0,139.0
0100010011101111,616.0,158.0,67.0,294.0,176.0,287.0,162.0,95.0
1110111011100011,612.0,60.0,77.0,208.0,145.0,191.0,273.0,31.0
1100010001000001,612.0,328.0,222.0,548.0,451.0,779.0,709.0,225.0
1100101101101101,611.0,330.0,67.0,149.0,158.0,217.0,110.0,126.0
1101101111010011,609.0,228.0,270.0,88.0,212.0,191.0,104.0,87.0
1101001101010110,608.0,92.0,21.0,241.0,88.0,50.0,110.0,149.0
0111000100111101,608.0,846.0,101.0,28.0,73.0,98.0,32.0,151.0
1100010110000100,607.0,447.0,95.0,967.0,1329.0,1322.0,717.0,654.0
1101000100000010,603.0,164.0,14.0,259.0,298.0,280.0,86.0,58.0
1111010010111101,601.0,22.0,18.0,241.0,149.0,38.0,33.0,228.0
1110010110100110,599.0,172.0,106.0,229.0,237.0,257.0,143.0,62.0
1000001001000100,591.0,163.0,29.0,216.0,179.0,375.0,462.0,58.0
1111100001111111,590.0,24.0,41.0,79.0,122.0,145.0,97.0,199.0
1101100110001111,588.0,45.0,7.0,118.0,111.0,171.0,74.0,66.0
1011111100000101,588.0,28.0,10.0,112.0,167.0,70.0,85.0,117.0
1011011010100010,585.0,49.0,27.0,144.0,160.0,216.0,131.0,58.0
1110010100010101,582.0,173.0,28.0,374.0,311.0,329.0,294.0,499.0
1111011011100000,580.0,477.0,182.0,948.0,423.0,1248.0,1094.0,37.0
1111101100110011,579.0,41.0,14.0,128.0,200.0,186.0,99.0,221.0
1001011011101000,575.0,235.0,63.0,189.0,216.0,187.0,179.0,9.0
1101011011000110,571.0,57.0,207.0,186.0,126.0,210.0,215.0,34.0
1110101101011010,567.0,89.0,60.0,241.0,206.0,163.0,162.0,72.0
1011000010100011,564.0,89.0,62.0,76.0,149.0,127.0,185.0,202.0
1000111101100011,560.0,84.0,12.0,158.0,29.0,140.0,64.0,55.0
1111100101101101,558.0,79.0,16.0,160.0,212.0,72.0,65.0,121.0
1111111011110110,557.0,20.0,11.0,268.0,155.0,135.0,56.0,8.0
1101001101000001,556.0,41.0,22.0,68.0,98.0,234.0,151.0,120.0
1011101001101101,556.0,365.0,329.0,123.0,164.0,241.0,72.0,286.0
1011100000010010,553.0,211.0,146.0,211.0,161.0,162.0,109.0,65.0
1010010111100000,552.0,368.0,160.0,141.0,144.0,301.0,336.0,46.0
1011111010110101,551.0,10.0,24.0,99.0,57.0,19.0,11.0,74.0
1101010011110000,550.0,48.0,27.0,164.0,128.0,99.0,139.0,10.0
1111110101001001,547.0,63.0,19.0,180.0,166.0,295.0,164.0,68.0
1110010101111010,546.0,230.0,86.0,195.0,281.0,340.0,315.0,143.0
1100010000001011,545.0,715.0,423.0,518.0,537.0,480.0,543.0,452.0
1101000011010001,539.0,88.0,102.0,167.0,257.0,298.0,160.0,156.0
1000010001100111,539.0,152.0,131.0,273.0,287.0,205.0,222.0,286.0
0001010011111011,538.0,284.0,139.0,66.0,104.0,83.0,38.0,53.0
1011101001011111,536.0,26.0,6.0,60.0,83.0,38.0,32.0,260.0
1010101011011000,532.0,389.0,192.0,1245.0,806.0,1544.0,1371.0,146.0
1111100001010110,530.0,31.0,80.0,36.0,48.0,45.0,32.0,80.0
0101110001111011,529.0,13.0,5.0,116.0,72.0,81.0,29.0,55.0
1100011001001010,526.0,56.0,40.0,240.0,125.0,179.0,378.0,18.0
1111111001110101,524.0,48.0,9.0,221.0,76.0,185.0,53.0,169.0
1011010110011101,523.0,19.0,69.0,119.0,77.0,105.0,42.0,118.0
1100010000001010,522.0,341.0,236.0,458.0,611.0,447.0,513.0,391.0
1101000100000011,521.0,109.0,37.0,161.0,234.0,198.0,172.0,303.0
1101101001111111,520.0,142.0,86.0,247.0,99.0,121.0,67.0,202.0
1110101111101011,517.0,145.0,12.0,366.0,209.0,283.0,321.0,44.0
1111110111101011,514.0,157.0,149.0,212.0,99.0,134.0,123.0,15.0
1111010010001011,514.0,192.0,28.0,535.0,327.0,317.0,284.0,264.0
1100101110101011,513.0,73.0,21.0,199.0,189.0,181.0,178.0,217.0
1000010000000110,513.0,271.0,198.0,260.0,424.0,288.0,282.0,136.0
1101010011001111,512.0,82.0,62.0,364.0,159.0,226.0,194.0,154.0
1000010010011011,512.0,152.0,60.0,243.0,414.0,280.0,197.0,426.0
1110010010000100,511.0,158.0,70.0,274.0,370.0,359.0,308.0,188.0
1100111011000100,509.0,83.0,9.0,104.0,48.0,129.0,95.0,0.0
0111110001111010,509.0,13.0,4.0,93.0,69.0,41.0,33.0,100.0
1011100001000011,507.0,199.0,59.0,215.0,326.0,234.0,130.0,47.0
1011000101010001,507.0,52.0,25.0,91.0,110.0,90.0,162.0,198.0
1101101110001100,505.0,143.0,107.0,108.0,184.0,189.0,96.0,91.0
1010010000101010,505.0,91.0,68.0,289.0,157.0,221.0,221.0,109.0
1101011101101001,503.0,205.0,51.0,243.0,150.0,310.0,211.0,134.0
1110101011001110,500.0,93.0,9.0,123.0,89.0,190.0,130.0,8.0
1110010111101010,499.0,223.0,90.0,477.0,322.0,546.0,690.0,16.0
1001111000001101,499.0,266.0,167.0,437.0,515.0,389.0,252.0,1053.0
1000010001011101,496.0,389.0,115.0,83.0,174.0,296.0,203.0,225.0
1011011100101111,495.0,63.0,11.0,215.0,170.0,240.0,62.0,356.0
1001010100001111,495.0,20.0,27.0,153.0,130.0,89.0,42.0,339.0
1000010110001001,495.0,91.0,70.0,132.0,120.0,89.0,62.0,116.0
1000010100011100,494.0,63.0,57.0,176.0,224.0,284.0,138.0,293.0
1101101001011011,492.0,42.0,24.0,247.0,275.0,147.0,90.0,156.0
1100010001000000,491.0,183.0,66.0,360.0,261.0,816.0,370.0,79.0
0011101011000011,490.0,374.0,246.0,76.0,99.0,114.0,63.0,5.0
1100010100001011,489.0,103.0,65.0,216.0,278.0,358.0,403.0,315.0
1110011011110011,488.0,101.0,52.0,183.0,172.0,387.0,334.0,31.0
1101011100001110,488.0,81.0,16.0,257.0,147.0,183.0,53.0,72.0
1101000110100011,488.0,243.0,110.0,698.0,636.0,883.0,473.0,705.0
1011000101110001,488.0,83.0,86.0,173.0,238.0,223.0,151.0,332.0
1111100000010001,487.0,50.0,90.0,167.0,437.0,183.0,87.0,491.0
1110010011011100,485.0,119.0,93.0,461.0,221.0,312.0,296.0,224.0
1111000100000001,483.0,74.0,61.0,215.0,242.0,161.0,143.0,229.0
1110010010000011,483.0,155.0,159.0,516.0,549.0,628.0,615.0,318.0
1000011000110101,483.0,22.0,20.0,17.0,49.0,35.0,51.0,38.0
1111001101001011,481.0,77.0,81.0,156.0,243.0,93.0,86.0,67.0
1111000111111111,481.0,48.0,31.0,156.0,186.0,64.0,48.0,139.0
1011101100000110,481.0,97.0,20.0,96.0,201.0,100.0,84.0,155.0
1100111010101010,480.0,99.0,24.0,104.0,212.0,125.0,155.0,37.0
1001000000100000,477.0,47.0,42.0,161.0,174.0,111.0,88.0,94.0
1101001110101010,476.0,30.0,55.0,191.0,110.0,89.0,92.0,44.0
1100010011010010,476.0,278.0,92.0,360.0,362.0,357.0,338.0,100.0
1101011001110110,475.0,243.0,35.0,181.0,120.0,233.0,228.0,63.0
1100101110010010,475.0,60.0,42.0,183.0,140.0,233.0,206.0,68.0
1100011000001110,475.0,194.0,104.0,235.0,361.0,406.0,292.0,224.0
1001011101100011,475.0,154.0,125.0,141.0,216.0,272.0,259.0,143.0
1110010101110010,474.0,369.0,117.0,356.0,439.0,365.0,557.0,197.0
1111100001110101,473.0,112.0,18.0,49.0,134.0,53.0,40.0,99.0
1110010001000101,473.0,155.0,133.0,256.0,313.0,554.0,231.0,304.0
1011011010100000,473.0,66.0,73.0,61.0,157.0,246.0,155.0,83.0
1010010100111000,473.0,59.0,108.0,127.0,237.0,155.0,159.0,131.0
1000010010010010,473.0,133.0,68.0,173.0,216.0,405.0,160.0,110.0
1111000000000000,472.0,121.0,166.0,142.0,117.0,536.0,166.0,119.0
1100010111011101,472.0,96.0,113.0,497.0,297.0,383.0,266.0,356.0
1111110011100101,471.0,109.0,47.0,84.0,76.0,111.0,162.0,96.0
1111100100010000,471.0,222.0,62.0,104.0,261.0,519.0,182.0,186.0
1110010010111111,471.0,57.0,15.0,158.0,159.0,148.0,65.0,183.0
1101001100100001,471.0,51.0,15.0,54.0,114.0,100.0,82.0,65.0
1011111111101000,470.0,72.0,28.0,150.0,127.0,174.0,244.0,4.0
1001100110011010,470.0,42.0,29.0,97.0,40.0,54.0,80.0,74.0
0101100010010001,470.0,221.0,111.0,84.0,170.0,110.0,86.0,162.0
0100011010111010,469.0,33.0,16.0,39.0,74.0,70.0,48.0,23.0
1111001001001001,468.0,98.0,25.0,118.0,104.0,344.0,130.0,96.0
1110010001000010,468.0,970.0,304.0,707.0,525.0,920.0,701.0,114.0
1101110011000111,468.0,81.0,34.0,326.0,222.0,161.0,169.0,114.0
1101110100010010,467.0,74.0,93.0,179.0,128.0,93.0,85.0,91.0
1100101001111000,466.0,147.0,29.0,179.0,303.0,414.0,426.0,38.0
1111011100001011,465.0,136.0,48.0,346.0,142.0,359.0,159.0,466.0
1110010101101010,465.0,196.0,84.0,303.0,208.0,495.0,301.0,111.0
1101111010001110,462.0,44.0,35.0,160.0,164.0,179.0,102.0,71.0
1100011010101010,462.0,188.0,60.0,383.0,642.0,761.0,254.0,285.0
1011110110010101,462.0,18.0,24.0,96.0,181.0,53.0,109.0,167.0
1111101011010011,461.0,100.0,20.0,424.0,112.0,243.0,258.0,51.0
1101000111111000,461.0,115.0,156.0,112.0,83.0,108.0,185.0,14.0
1100010101100000,461.0,183.0,55.0,330.0,329.0,523.0,345.0,55.0
1100101000001001,460.0,147.0,78.0,174.0,199.0,315.0,372.0,203.0
1100010101111011,460.0,229.0,143.0,841.0,591.0,409.0,421.0,513.0
0010001011011000,460.0,50.0,3.0,13.0,31.0,41.0,19.0,14.0
1101101110010011,458.0,127.0,110.0,423.0,352.0,270.0,134.0,316.0
1100010011111101,456.0,125.0,158.0,251.0,226.0,272.0,217.0,177.0
1101110110100010,455.0,136.0,29.0,359.0,128.0,95.0,70.0,85.0
1110010001000011,454.0,585.0,124.0,427.0,630.0,712.0,494.0,270.0
1100010001110001,454.0,186.0,103.0,182.0,342.0,463.0,339.0,202.0
1000010101000010,454.0,236.0,20.0,308.0,144.0,410.0,192.0,32.0
1100011001100010,453.0,106.0,133.0,93.0,105.0,244.0,231.0,13.0
1111001111010101,452.0,29.0,9.0,65.0,99.0,110.0,56.0,95.0
1101110001001100,452.0,103.0,95.0,478.0,362.0,663.0,446.0,357.0
1101101000001101,452.0,83.0,34.0,323.0,169.0,256.0,163.0,497.0
1110010101100011,450.0,332.0,96.0,658.0,615.0,536.0,412.0,370.0
0100010010010101,450.0,89.0,66.0,63.0,346.0,131.0,92.0,227.0
1100010010011000,449.0,178.0,62.0,270.0,239.0,512.0,281.0,266.0
0101110100011101,449.0,64.0,52.0,31.0,78.0,39.0,22.0,102.0
0101101111000001,449.0,115.0,56.0,130.0,257.0,213.0,139.0,50.0
0100011011001111,449.0,58.0,70.0,121.0,67.0,71.0,71.0,38.0
1101101110100100,448.0,182.0,108.0,91.0,132.0,322.0,169.0,68.0
1011001110011001,448.0,30.0,17.0,42.0,72.0,47.0,38.0,153.0
1011000001111011,448.0,36.0,59.0,191.0,361.0,103.0,128.0,287.0
1001101001101010,448.0,43.0,19.0,123.0,138.0,276.0,132.0,11.0
0101010101100001,448.0,73.0,14.0,93.0,126.0,102.0,117.0,151.0
1111101101001011,446.0,83.0,42.0,294.0,159.0,196.0,110.0,62.0
1100010010001101,446.0,327.0,110.0,270.0,464.0,568.0,195.0,274.0
1101111101000001,445.0,103.0,9.0,439.0,346.0,222.0,204.0,168.0
1001011101111010,445.0,129.0,14.0,217.0,61.0,129.0,93.0,57.0
1000011011000011,445.0,192.0,92.0,151.0,199.0,286.0,181.0,48.0
1110111101100011,444.0,85.0,23.0,170.0,168.0,110.0,105.0,23.0
0111111010100000,444.0,34.0,25.0,54.0,66.0,195.0,63.0,20.0
1100100100101111,443.0,14.0,3.0,43.0,12.0,7.0,6.0,26.0
1111011110011101,442.0,47.0,29.0,159.0,306.0,178.0,158.0,301.0
1111010011110011,442.0,300.0,149.0,403.0,367.0,451.0,642.0,444.0
1101100000010011,442.0,90.0,38.0,136.0,247.0,318.0,265.0,243.0
1111101111101001,441.0,164.0,38.0,431.0,375.0,545.0,596.0,53.0
1110011100010101,441.0,176.0,61.0,133.0,245.0,336.0,180.0,282.0
1110001010001100,441.0,156.0,112.0,143.0,84.0,96.0,93.0,113.0
1110101110000101,440.0,69.0,7.0,112.0,86.0,86.0,31.0,138.0
1011100111100001,440.0,116.0,91.0,180.0,65.0,146.0,293.0,74.0
0101110111011100,440.0,33.0,11.0,70.0,93.0,47.0,61.0,83.0
1111100111100011,439.0,97.0,41.0,228.0,238.0,322.0,126.0,46.0
1111011010111000,439.0,167.0,66.0,535.0,440.0,705.0,583.0,410.0
1101111001101010,439.0,178.0,28.0,133.0,253.0,373.0,296.0,23.0
1001000101011001,439.0,93.0,92.0,174.0,198.0,141.0,109.0,203.0
1111001111111101,438.0,28.0,33.0,41.0,88.0,63.0,39.0,152.0
1101100101011100,438.0,112.0,31.0,250.0,184.0,196.0,128.0,285.0
1001011111110101,438.0,146.0,186.0,142.0,120.0,215.0,94.0,88.0
1101011111100011,436.0,334.0,57.0,368.0,330.0,777.0,488.0,60.0
1011000110101101,436.0,124.0,29.0,119.0,132.0,115.0,71.0,298.0
1001000001000010,436.0,140.0,67.0,117.0,141.0,290.0,346.0,53.0
0101000011001001,436.0,29.0,14.0,78.0,288.0,252.0,180.0,16.0
0100010001111011,436.0,182.0,14.0,253.0,271.0,221.0,143.0,328.0
1111011110011100,435.0,78.0,36.0,136.0,314.0,386.0,263.0,270.0
1110011111110001,435.0,59.0,30.0,246.0,94.0,147.0,217.0,126.0
1110010010101111,435.0,65.0,35.0,354.0,212.0,171.0,114.0,223.0
1101000111101110,435.0,190.0,45.0,174.0,312.0,519.0,232.0,131.0
1011100011011001,435.0,49.0,60.0,62.0,142.0,99.0,124.0,38.0
0011000011000110,435.0,35.0,7.0,37.0,28.0,61.0,73.0,3.0
1111110111011000,434.0,82.0,9.0,199.0,153.0,177.0,123.0,15.0
1111110110000010,434.0,31.0,11.0,280.0,155.0,270.0,153.0,61.0
1111011101001010,434.0,61.0,16.0,112.0,293.0,195.0,135.0,25.0
1111001011111101,434.0,58.0,19.0,214.0,191.0,151.0,114.0,126.0
1101011011001111,434.0,105.0,116.0,180.0,119.0,218.0,277.0,210.0
1010011000101110,434.0,123.0,162.0,701.0,1121.0,826.0,940.0,1174.0
1100111000000001,433.0,187.0,79.0,476.0,324.0,564.0,385.0,246.0
1100010001001011,433.0,281.0,316.0,723.0,611.0,882.0,630.0,274.0
1011001110110011,433.0,49.0,60.0,45.0,130.0,74.0,67.0,149.0
1100010011001111,432.0,346.0,379.0,464.0,375.0,413.0,221.0,226.0
1101100000101000,431.0,65.0,23.0,88.0,64.0,173.0,117.0,111.0
1010110101100101,431.0,122.0,64.0,43.0,182.0,34.0,52.0,28.0
1100010100110011,430.0,137.0,96.0,541.0,479.0,501.0,395.0,369.0
1001101000100101,430.0,144.0,60.0,88.0,210.0,170.0,105.0,287.0
1001000001001011,430.0,82.0,46.0,185.0,212.0,313.0,154.0,107.0
1101001001100010,429.0,146.0,77.0,337.0,282.0,452.0,440.0,37.0
1100010011001011,429.0,268.0,156.0,602.0,468.0,585.0,540.0,53.0
1111101001110111,428.0,121.0,43.0,188.0,158.0,263.0,143.0,340.0
1110111000001010,428.0,41.0,12.0,90.0,73.0,213.0,89.0,107.0
1011011011111000,427.0,52.0,35.0,82.0,126.0,183.0,183.0,35.0
1001111001000001,427.0,42.0,18.0,147.0,158.0,122.0,128.0,11.0
1110010011001011,426.0,223.0,61.0,461.0,361.0,495.0,590.0,116.0
1101001101101111,426.0,41.0,104.0,163.0,82.0,116.0,87.0,109.0
1100010100100100,426.0,206.0,59.0,206.0,363.0,134.0,214.0,236.0
1010101011001110,426.0,34.0,6.0,105.0,18.0,243.0,88.0,5.0
1001101100011011,426.0,51.0,56.0,137.0,210.0,316.0,117.0,401.0
1100010000111011,425.0,109.0,68.0,166.0,286.0,256.0,165.0,334.0
1001001110011111,425.0,39.0,11.0,115.0,156.0,63.0,33.0,174.0
1110010011110011,424.0,262.0,175.0,390.0,348.0,371.0,612.0,96.0
1101011010010000,424.0,107.0,81.0,139.0,171.0,659.0,328.0,157.0
1001000100100001,424.0,115.0,55.0,180.0,190.0,198.0,248.0,254.0
1011100100111111,423.0,53.0,165.0,68.0,231.0,128.0,65.0,271.0
1100101010000010,422.0,98.0,13.0,319.0,81.0,391.0,274.0,8.0
1011101111010101,422.0,98.0,87.0,106.0,95.0,146.0,58.0,133.0
0100010000011101,422.0,168.0,211.0,139.0,167.0,222.0,112.0,354.0
0011101011001010,422.0,83.0,12.0,43.0,28.0,66.0,87.0,1.0
1111110011110101,421.0,43.0,15.0,197.0,309.0,190.0,233.0,150.0
1100010001011001,421.0,237.0,74.0,316.0,328.0,418.0,340.0,450.0
1110010000011111,420.0,131.0,80.0,141.0,298.0,140.0,112.0,340.0
1000010101011011,420.0,138.0,67.0,301.0,440.0,290.0,176.0,269.0
1000010011010000,420.0,77.0,66.0,92.0,377.0,449.0,242.0,16.0
0011000100011101,420.0,92.0,103.0,65.0,103.0,60.0,47.0,351.0
0010010100101110,420.0,78.0,24.0,63.0,113.0,54.0,43.0,44.0
1111111001100110,419.0,213.0,47.0,188.0,173.0,363.0,217.0,54.0
1110010110100010,419.0,236.0,112.0,589.0,590.0,667.0,512.0,203.0
1011100001010010,419.0,112.0,9.0,92.0,94.0,77.0,93.0,27.0
1100010001010011,418.0,88.0,121.0,409.0,489.0,400.0,317.0,543.0
1110010110000010,417.0,113.0,34.0,317.0,477.0,380.0,333.0,133.0
1101011010010011,417.0,282.0,99.0,396.0,307.0,457.0,392.0,525.0
0101000100000010,417.0,34.0,31.0,168.0,92.0,92.0,107.0,20.0
1101100010100011,416.0,83.0,21.0,179.0,271.0,192.0,98.0,120.0
1100010001101110,416.0,188.0,101.0,434.0,273.0,292.0,266.0,127.0
1001111111000101,416.0,89.0,3.0,158.0,59.0,51.0,57.0,32.0
1111100100001100,415.0,123.0,89.0,160.0,103.0,135.0,76.0,137.0
1101010010110010,415.0,36.0,11.0,77.0,115.0,179.0,142.0,33.0
0101000000001011,415.0,143.0,105.0,117.0,112.0,122.0,120.0,96.0
1101011110110111,414.0,128.0,246.0,119.0,105.0,96.0,78.0,118.0
1100010001101001,414.0,271.0,193.0,310.0,300.0,662.0,566.0,159.0
1010010001110001,414.0,96.0,46.0,177.0,155.0,374.0,204.0,253.0
1001101001111101,414.0,65.0,130.0,134.0,244.0,158.0,57.0,233.0
1010001111100110,413.0,697.0,162.0,76.0,65.0,154.0,433.0,2.0
1110111010100011,412.0,76.0,48.0,357.0,259.0,171.0,66.0,91.0
0111101101101100,412.0,69.0,15.0,242.0,133.0,108.0,93.0,32.0
1111110100110111,411.0,19.0,8.0,87.0,36.0,41.0,15.0,280.0
1111010011110000,411.0,61.0,129.0,124.0,117.0,299.0,152.0,26.0
1101110010100111,411.0,45.0,65.0,185.0,248.0,110.0,124.0,208.0
1101001001110001,411.0,273.0,161.0,112.0,149.0,167.0,196.0,205.0
1101000001001011,411.0,180.0,32.0,356.0,359.0,653.0,481.0,195.0
1011100101110010,411.0,27.0,14.0,214.0,191.0,50.0,79.0,27.0
1110010011101011,410.0,226.0,53.0,508.0,406.0,485.0,438.0,122.0
1100010001111011,410.0,163.0,141.0,403.0,395.0,559.0,319.0,501.0
1100010000010001,410.0,117.0,134.0,135.0,449.0,524.0,354.0,488.0
1000111011100101,410.0,21.0,11.0,51.0,48.0,29.0,73.0,27.0
1000001001111000,410.0,16.0,10.0,123.0,104.0,170.0,73.0,38.0
0110010101011100,410.0,252.0,81.0,202.0,234.0,108.0,163.0,176.0
1111101001011011,409.0,54.0,69.0,234.0,503.0,222.0,190.0,326.0
1110010111000001,409.0,187.0,130.0,565.0,365.0,497.0,490.0,59.0
1101010101011101,409.0,21.0,42.0,158.0,102.0,131.0,70.0,168.0
1000101001001101,409.0,52.0,52.0,94.0,144.0,124.0,109.0,130.0
1111011001110010,408.0,147.0,40.0,113.0,226.0,333.0,235.0,79.0
1111110001101111,407.0,34.0,17.0,105.0,178.0,132.0,87.0,79.0
1000010010101001,407.0,104.0,49.0,223.0,410.0,194.0,300.0,450.0
0110101010111000,407.0,58.0,38.0,12.0,9.0,22.0,25.0,14.0
1111100100110111,406.0,200.0,205.0,106.0,44.0,40.0,48.0,130.0
1111011100001001,406.0,130.0,22.0,166.0,274.0,360.0,431.0,296.0
1101000100001000,406.0,106.0,90.0,375.0,220.0,245.0,185.0,67.0
1100010010001001,406.0,255.0,50.0,339.0,541.0,512.0,483.0,437.0
1101000100110011,405.0,273.0,52.0,194.0,285.0,193.0,268.0,214.0
1010010100100111,405.0,70.0,96.0,237.0,272.0,281.0,239.0,350.0
1001010000001001,405.0,169.0,69.0,301.0,388.0,356.0,393.0,422.0
1100010111011100,404.0,230.0,28.0,254.0,377.0,532.0,240.0,309.0
1100010001111010,404.0,123.0,114.0,492.0,590.0,729.0,560.0,219.0
1011001010110110,404.0,13.0,37.0,69.0,229.0,63.0,59.0,73.0
0010010110111011,404.0,236.0,52.0,229.0,233.0,189.0,100.0,573.0
1001111101000101,403.0,92.0,84.0,65.0,242.0,196.0,82.0,244.0
1110001000101010,402.0,214.0,88.0,165.0,56.0,109.0,63.0,58.0
1010010001101110,402.0,71.0,37.0,191.0,158.0,371.0,213.0,61.0
1111011110101011,401.0,121.0,29.0,417.0,388.0,184.0,319.0,437.0
1101101101010001,401.0,115.0,143.0,148.0,421.0,198.0,174.0,249.0
1100101101111100,401.0,54.0,60.0,58.0,104.0,172.0,41.0,66.0
1001000101000111,401.0,63.0,6.0,187.0,83.0,272.0,197.0,180.0
1110011011111100,400.0,34.0,75.0,164.0,178.0,133.0,146.0,84.0
1111101110110100,399.0,189.0,15.0,58.0,126.0,168.0,64.0,155.0
1111101001101011,398.0,106.0,55.0,269.0,307.0,323.0,312.0,115.0
1111011111101101,398.0,514.0,61.0,319.0,216.0,370.0,248.0,179.0
1110101111111011,398.0,146.0,157.0,272.0,203.0,107.0,134.0,96.0
1101011010001101,398.0,44.0,51.0,104.0,134.0,133.0,92.0,260.0
1100001111110110,398.0,43.0,4.0,155.0,129.0,133.0,194.0,25.0
1001001110010010,398.0,55.0,21.0,91.0,186.0,219.0,243.0,141.0
1011011000111110,397.0,43.0,5.0,116.0,91.0,29.0,58.0,24.0
1010010111010000,397.0,145.0,18.0,123.0,251.0,327.0,200.0,81.0
1010010011000111,396.0,46.0,63.0,206.0,226.0,182.0,185.0,215.0
