variant,counts_9114_b_F_5,counts_9114_b_F_4,counts_9114_b_F_6,counts_9114_b_F_7,counts_9114_b_F_3,counts_9114_b_F_2,counts_9114_b_F_1,counts_9114_b_F_8
1100101100110010,509.0,152.0,287.0,159.0,49.0,64.0,70.0,109.0
1100010101100011,509.0,786.0,364.0,363.0,289.0,64.0,98.0,186.0
1011001001000110,508.0,350.0,339.0,168.0,108.0,43.0,42.0,141.0
1111000001100011,507.0,450.0,151.0,374.0,318.0,134.0,223.0,407.0
1110010010000010,507.0,577.0,354.0,335.0,260.0,375.0,116.0,244.0
1101000111100011,507.0,477.0,298.0,288.0,244.0,43.0,113.0,35.0
1110010001000000,506.0,708.0,235.0,113.0,326.0,260.0,144.0,95.0
1110010000010011,506.0,319.0,192.0,376.0,158.0,280.0,243.0,596.0
1111010110101010,505.0,435.0,129.0,297.0,245.0,14.0,14.0,218.0
1100010011010100,505.0,463.0,294.0,444.0,128.0,72.0,46.0,131.0
1111000100110010,504.0,135.0,199.0,274.0,299.0,17.0,200.0,96.0
1100010100001011,504.0,582.0,289.0,419.0,249.0,113.0,162.0,536.0
1100010001111011,504.0,607.0,290.0,338.0,482.0,31.0,110.0,315.0
1111101101101100,502.0,178.0,49.0,190.0,98.0,23.0,97.0,59.0
1110101111001011,502.0,251.0,343.0,123.0,164.0,64.0,16.0,36.0
1110001001111010,502.0,472.0,304.0,459.0,224.0,60.0,225.0,322.0
1101010101111101,502.0,335.0,276.0,462.0,97.0,45.0,22.0,408.0
1111111001100110,501.0,438.0,259.0,238.0,146.0,203.0,38.0,75.0
1100010111011000,501.0,337.0,155.0,92.0,251.0,58.0,41.0,87.0
1100010011011010,501.0,393.0,121.0,125.0,546.0,52.0,168.0,72.0
1100010010100000,501.0,356.0,321.0,180.0,145.0,46.0,54.0,126.0
1111101011111010,500.0,296.0,218.0,165.0,319.0,59.0,59.0,95.0
1110010111011010,500.0,485.0,387.0,284.0,356.0,72.0,39.0,114.0
1100010111110010,500.0,479.0,328.0,197.0,223.0,100.0,69.0,63.0
1100010101001101,500.0,414.0,222.0,434.0,218.0,109.0,169.0,210.0
1111011011101011,499.0,374.0,134.0,261.0,128.0,196.0,33.0,93.0
1111011001001000,499.0,495.0,221.0,367.0,362.0,136.0,84.0,94.0
1111001101101100,499.0,335.0,354.0,282.0,189.0,178.0,142.0,78.0
1100001101101010,499.0,569.0,165.0,281.0,149.0,65.0,55.0,43.0
1111000101110010,498.0,407.0,71.0,317.0,132.0,50.0,73.0,116.0
1110010111111011,498.0,491.0,435.0,668.0,246.0,143.0,164.0,256.0
1110010101101001,498.0,484.0,175.0,230.0,212.0,92.0,133.0,188.0
1100010101001000,498.0,375.0,122.0,163.0,149.0,182.0,97.0,94.0
1100010100011011,498.0,506.0,401.0,555.0,226.0,233.0,142.0,622.0
1110010110011011,497.0,429.0,318.0,148.0,236.0,168.0,120.0,493.0
1101011011101010,496.0,330.0,98.0,142.0,127.0,22.0,109.0,66.0
1100010000100111,496.0,372.0,153.0,482.0,251.0,111.0,126.0,535.0
1010010001001111,496.0,475.0,325.0,393.0,129.0,98.0,75.0,509.0
1101110111100011,495.0,296.0,231.0,139.0,280.0,29.0,7.0,64.0
1100010010000010,495.0,411.0,367.0,227.0,138.0,236.0,216.0,105.0
1101000001000010,494.0,360.0,164.0,451.0,252.0,31.0,174.0,18.0
1100010101101111,494.0,242.0,283.0,331.0,182.0,24.0,45.0,100.0
0110010011110011,494.0,297.0,232.0,287.0,221.0,39.0,33.0,168.0
1111101101100001,493.0,357.0,201.0,246.0,245.0,197.0,134.0,127.0
1100010101110010,493.0,383.0,607.0,206.0,282.0,89.0,85.0,111.0
1111111111100011,492.0,444.0,107.0,272.0,254.0,19.0,76.0,52.0
1111001011000010,492.0,200.0,178.0,146.0,104.0,41.0,133.0,52.0
1101101100001011,492.0,427.0,239.0,427.0,213.0,39.0,59.0,343.0
1111011001100000,491.0,613.0,456.0,193.0,162.0,133.0,94.0,36.0
1110010000101011,491.0,377.0,384.0,488.0,187.0,23.0,168.0,620.0
1110010011101011,490.0,860.0,274.0,123.0,282.0,155.0,77.0,86.0
1101011011001011,490.0,872.0,347.0,360.0,298.0,103.0,87.0,155.0
1101001110000011,490.0,271.0,115.0,191.0,324.0,57.0,32.0,196.0
1100010101111001,490.0,448.0,409.0,298.0,578.0,182.0,168.0,275.0
1111101101110100,489.0,351.0,240.0,275.0,252.0,31.0,89.0,288.0
1001011111101011,489.0,221.0,237.0,68.0,180.0,40.0,35.0,93.0
1101011101101001,488.0,450.0,201.0,155.0,212.0,72.0,35.0,176.0
1010010001100001,488.0,401.0,224.0,254.0,166.0,320.0,201.0,102.0
1110010001000110,487.0,338.0,376.0,224.0,312.0,171.0,138.0,183.0
1101010101001011,487.0,344.0,269.0,399.0,238.0,91.0,108.0,331.0
1100010111010010,487.0,596.0,503.0,365.0,263.0,56.0,70.0,129.0
1100010110010010,487.0,272.0,379.0,260.0,208.0,376.0,316.0,275.0
1111100001100011,486.0,246.0,191.0,194.0,301.0,31.0,150.0,204.0
1100010000100001,486.0,402.0,430.0,313.0,187.0,50.0,63.0,322.0
1101110111101011,485.0,473.0,178.0,487.0,208.0,73.0,78.0,69.0
1100010011001010,485.0,1026.0,266.0,54.0,414.0,370.0,154.0,10.0
1110010001100000,483.0,671.0,168.0,248.0,161.0,107.0,117.0,115.0
1101101001100010,483.0,928.0,324.0,161.0,431.0,78.0,191.0,16.0
1101000011110010,483.0,397.0,109.0,188.0,194.0,22.0,89.0,41.0
1100010100101001,483.0,307.0,193.0,212.0,172.0,153.0,82.0,415.0
1100010000001111,483.0,620.0,154.0,320.0,220.0,177.0,177.0,543.0
1101011011000001,482.0,345.0,260.0,89.0,176.0,217.0,69.0,51.0
1000010011000010,482.0,692.0,111.0,111.0,525.0,58.0,75.0,8.0
1000010001010010,482.0,405.0,243.0,336.0,142.0,71.0,97.0,217.0
1100011011000011,481.0,237.0,202.0,84.0,242.0,13.0,36.0,49.0
1110010001100011,480.0,698.0,410.0,406.0,332.0,189.0,132.0,194.0
1101011110101101,480.0,280.0,340.0,284.0,257.0,169.0,79.0,487.0
1101011110011010,480.0,299.0,241.0,134.0,149.0,24.0,63.0,160.0
1101000100010010,480.0,295.0,298.0,324.0,175.0,77.0,138.0,416.0
1100010010000011,480.0,450.0,253.0,294.0,182.0,94.0,123.0,250.0
1100010000011101,480.0,547.0,389.0,681.0,320.0,331.0,252.0,816.0
1010010101110010,480.0,462.0,366.0,398.0,250.0,55.0,128.0,218.0
0110010100110011,480.0,465.0,434.0,518.0,265.0,65.0,43.0,811.0
1111010001101100,479.0,193.0,240.0,279.0,94.0,65.0,50.0,177.0
1110101001000010,479.0,414.0,136.0,77.0,276.0,25.0,52.0,40.0
1100001001000011,479.0,373.0,259.0,144.0,202.0,69.0,74.0,89.0
1111000101010000,478.0,345.0,223.0,140.0,270.0,47.0,242.0,237.0
1110001111011010,478.0,289.0,259.0,161.0,184.0,143.0,102.0,17.0
1101010011011010,478.0,553.0,120.0,131.0,123.0,29.0,12.0,48.0
1100101101100011,478.0,292.0,253.0,300.0,264.0,24.0,78.0,19.0
1100010011101011,478.0,944.0,241.0,418.0,427.0,72.0,132.0,97.0
1100010001000010,478.0,687.0,534.0,244.0,261.0,272.0,189.0,15.0
0110011011000010,478.0,200.0,134.0,69.0,148.0,20.0,17.0,4.0
1110010111101000,477.0,455.0,365.0,140.0,266.0,28.0,47.0,50.0
1101100111100011,477.0,446.0,245.0,232.0,302.0,56.0,59.0,65.0
1110101101101011,476.0,265.0,128.0,217.0,148.0,17.0,25.0,103.0
1101011101110000,476.0,319.0,260.0,290.0,117.0,28.0,44.0,93.0
1101001011000011,476.0,254.0,144.0,209.0,268.0,89.0,142.0,89.0
1111101010001001,475.0,301.0,116.0,93.0,53.0,129.0,51.0,156.0
1111011111100001,475.0,351.0,118.0,187.0,269.0,218.0,130.0,132.0
1111011101100110,475.0,259.0,211.0,291.0,220.0,67.0,78.0,78.0
1110010111100011,475.0,803.0,192.0,295.0,313.0,129.0,204.0,78.0
1100010101010110,475.0,251.0,291.0,386.0,148.0,149.0,110.0,217.0
0100010100000000,475.0,203.0,123.0,356.0,51.0,23.0,107.0,97.0
1111000111100000,473.0,439.0,114.0,128.0,226.0,155.0,325.0,66.0
1110011001100000,473.0,393.0,167.0,205.0,162.0,58.0,130.0,109.0
1100011001001011,473.0,533.0,453.0,332.0,326.0,146.0,203.0,177.0
1101101111101011,472.0,540.0,443.0,203.0,328.0,118.0,34.0,73.0
1101010100000001,472.0,651.0,412.0,323.0,328.0,112.0,177.0,816.0
1100011010101010,472.0,526.0,284.0,347.0,198.0,112.0,65.0,252.0
1110010111001000,471.0,384.0,57.0,81.0,85.0,22.0,22.0,5.0
1101101001001011,471.0,583.0,407.0,577.0,320.0,38.0,85.0,253.0
1100010001110011,471.0,690.0,352.0,289.0,340.0,45.0,118.0,327.0
1111011101011010,470.0,362.0,306.0,373.0,173.0,72.0,140.0,231.0
1100010010001001,470.0,875.0,268.0,312.0,213.0,139.0,256.0,429.0
0110010011110010,470.0,356.0,134.0,160.0,181.0,48.0,97.0,24.0
